Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7445560,9.7966518,9.5101213,26.97
2,5.7447672,9.7959309,9.5026598,26.93
3,5.7446365,9.7963772,9.4923878,26.92
4,5.7445126,9.7967997,9.4801159,26.90
5,5.7445560,9.7966518,9.4669981,26.89
6,5.7448335,9.7957058,9.4567404,26.83
7,5.7444229,9.7971058,9.4469881,26.88
8,5.7443895,9.7972193,9.4368143,26.87
9,5.7446938,9.7961817,9.4287004,26.86
10,5.7444801,9.7969103,9.4180908,26.88
11,5.7444057,9.7971640,9.4064255,26.86
12,5.7446928,9.7961845,9.3947897,26.84
13,5.7448454,9.7956648,9.3844194,26.84
14,5.7444811,9.7969074,9.3738346,26.86
15,5.7445006,9.7968407,9.3635254,26.87
16,5.7447844,9.7958727,9.3547640,26.88
17,5.7446079,9.7964745,9.3455572,26.81
18,5.7444234,9.7971039,9.3354731,26.84
19,5.7446780,9.7962351,9.3235474,26.81
20,5.7446423,9.7963572,9.3133383,26.81
21,5.7443390,9.7973919,9.3013306,26.84
22,5.7444334,9.7970695,9.2919970,26.82
23,5.7445388,9.7967110,9.2837276,26.82
24,5.7444849,9.7968941,9.2730427,26.82
25,5.7443666,9.7972975,9.2608595,26.85
26,5.7448530,9.7956390,9.2480812,26.89
27,5.7446070,9.7964783,9.2369242,26.86
28,5.7444334,9.7970695,9.2254534,26.89
29,5.7446308,9.7963963,9.2161798,26.96
30,5.7447357,9.7960386,9.2083731,26.94
31,5.7446184,9.7964382,9.1985922,26.94
32,5.7444839,9.7968979,9.1849203,26.96
