Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7443466,9.7973661,9.5176201,23.63
2,5.7443099,9.7974911,9.5077477,23.60
3,5.7443671,9.7972965,9.4988270,23.62
4,5.7444267,9.7970924,9.4882193,23.65
5,5.7443247,9.7974405,9.4774208,23.69
6,5.7447205,9.7960911,9.4660311,23.63
7,5.7446852,9.7962112,9.4563713,23.69
8,5.7441568,9.7980137,9.4465284,23.68
9,5.7443724,9.7972784,9.4361038,23.71
10,5.7444096,9.7971516,9.4272747,23.70
11,5.7445188,9.7967787,9.4180040,23.70
12,5.7443275,9.7974310,9.4066057,23.70
13,5.7447653,9.7959375,9.3967657,23.65
14,5.7443867,9.7972288,9.3870487,23.64
15,5.7442102,9.7978306,9.3755865,23.62
16,5.7444754,9.7969275,9.3675623,23.56
17,5.7442970,9.7975349,9.3588200,23.52
18,5.7443933,9.7972059,9.3493872,23.52
19,5.7443261,9.7974358,9.3383245,23.47
20,5.7446499,9.7963314,9.3279943,23.49
21,5.7443037,9.7975121,9.3175497,23.50
22,5.7442074,9.7978411,9.3072262,23.52
23,5.7445197,9.7967758,9.3004131,23.49
24,5.7444496,9.7970152,9.2918587,23.52
25,5.7443409,9.7973852,9.2824669,23.52
26,5.7445626,9.7966290,9.2715950,23.51
27,5.7446852,9.7962112,9.2610178,23.54
28,5.7442493,9.7976980,9.2499800,23.59
29,5.7442594,9.7976637,9.2405148,23.59
30,5.7445898,9.7965364,9.2342186,23.57
31,5.7445917,9.7965298,9.2237110,23.57
32,5.7443347,9.7974062,9.2143736,23.65
