Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7455206,9.7933626,9.5335054,23.12
2,5.7452250,9.7943707,9.5228968,23.11
3,5.7441387,9.7980747,9.5120335,23.09
4,5.7436051,9.7998962,9.4984751,23.05
5,5.7453651,9.7938929,9.4980097,23.07
6,5.7446318,9.7963934,9.5085421,23.01
7,5.7437391,9.7994385,9.4794092,23.04
8,5.7452865,9.7941608,9.4672422,22.99
9,5.7450676,9.7949076,9.4561462,23.04
10,5.7436886,9.7996101,9.4415102,23.00
11,5.7435150,9.8002033,9.4313126,23.05
12,5.7454958,9.7934465,9.4375725,23.04
13,5.7440815,9.7982702,9.4409866,23.08
14,5.7436194,9.7998466,9.4065247,23.13
15,5.7451878,9.7944975,9.3975372,23.12
16,5.7448921,9.7955055,9.3865290,23.11
17,5.7437763,9.7993116,9.3706255,23.21
18,5.7436166,9.7998562,9.3629417,23.17
19,5.7455168,9.7933750,9.3723383,23.14
20,5.7437668,9.7993441,9.3675547,23.09
21,5.7441921,9.7978926,9.3332462,23.03
22,5.7453899,9.7938080,9.3241367,23.06
23,5.7444339,9.7970686,9.3150702,23.08
24,5.7434144,9.8005466,9.3009672,23.08
25,5.7440004,9.7985468,9.2934265,23.12
26,5.7452307,9.7943506,9.3059797,23.14
27,5.7432938,9.8009586,9.2917843,23.17
28,5.7447729,9.7959118,9.2609472,23.16
29,5.7453508,9.7939405,9.2486391,23.16
30,5.7440166,9.7984915,9.2404222,23.17
31,5.7434678,9.8003645,9.2270842,23.13
32,5.7447662,9.7959347,9.2178268,23.14
