Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7435908,9.7999449,9.5174456,24.44
2,5.7450724,9.7948904,9.5128660,24.45
3,5.7441478,9.7980442,9.5110807,24.41
4,5.7441263,9.7981176,9.4844646,24.44
5,5.7451863,9.7945023,9.4742928,24.44
6,5.7443838,9.7972393,9.4583073,24.48
7,5.7436376,9.7997856,9.4464092,24.46
8,5.7438869,9.7989340,9.4370489,24.47
9,5.7453527,9.7939348,9.4348288,24.47
10,5.7437925,9.7992563,9.4258938,24.49
11,5.7444148,9.7971334,9.4021702,24.48
12,5.7450843,9.7948503,9.3897696,24.51
13,5.7444210,9.7971125,9.3753357,24.49
14,5.7436256,9.7998257,9.3629637,24.50
15,5.7440305,9.7984438,9.3540115,24.55
16,5.7452102,9.7944212,9.3558989,24.50
17,5.7433996,9.8005972,9.3404894,24.54
18,5.7449651,9.7952566,9.3209801,24.52
19,5.7451606,9.7945900,9.3091793,24.43
20,5.7443438,9.7973757,9.2965002,24.43
21,5.7435155,9.8002014,9.2867270,24.38
22,5.7444592,9.7969818,9.2779369,24.38
23,5.7446356,9.7963800,9.2842884,24.38
24,5.7436008,9.7999105,9.2630253,24.44
25,5.7450323,9.7950268,9.2449923,24.47
26,5.7446051,9.7964840,9.2317638,24.48
27,5.7440519,9.7983713,9.2195654,24.45
28,5.7435446,9.8001022,9.2072992,24.45
29,5.7445235,9.7967625,9.1994200,24.42
30,5.7445502,9.7966709,9.2051754,24.43
31,5.7441969,9.7978764,9.1806107,24.50
32,5.7452030,9.7944450,9.1687717,24.47
