Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7438707,9.7989893,9.4824448,25.69
2,5.7444525,9.7970047,9.4747362,25.68
3,5.7443371,9.7973986,9.4719677,25.70
4,5.7444677,9.7969522,9.4550953,25.73
5,5.7448764,9.7955589,9.4437342,25.78
6,5.7450376,9.7950096,9.4324198,25.80
7,5.7444048,9.7971678,9.4224720,25.80
8,5.7442074,9.7978411,9.4133682,25.83
9,5.7444487,9.7970181,9.4058475,25.84
10,5.7445936,9.7965231,9.4047565,25.77
11,5.7443638,9.7973070,9.3875122,25.78
12,5.7451038,9.7947836,9.3782244,25.80
13,5.7448277,9.7957249,9.3638906,25.85
14,5.7441130,9.7981625,9.3531494,25.75
15,5.7443743,9.7972717,9.3467369,25.77
16,5.7445970,9.7965117,9.3401756,25.79
17,5.7446623,9.7962894,9.3356199,25.80
18,5.7445393,9.7967081,9.3159552,25.80
19,5.7454166,9.7937174,9.3006248,25.77
20,5.7445216,9.7967691,9.2835264,25.71
21,5.7440481,9.7983847,9.2723646,25.71
22,5.7444201,9.7971153,9.2668381,25.74
23,5.7445755,9.7965851,9.2611294,25.75
24,5.7439337,9.7987747,9.2526569,25.78
25,5.7439108,9.7988529,9.2349014,25.84
26,5.7450523,9.7949591,9.2187796,25.87
27,5.7441874,9.7979088,9.2048044,25.92
28,5.7439213,9.7988167,9.1949158,25.92
29,5.7444448,9.7970304,9.1893597,25.96
30,5.7449031,9.7954683,9.1841488,25.93
31,5.7442093,9.7978344,9.1713428,25.88
32,5.7446399,9.7963657,9.1570835,25.81
