Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7426038,9.8033142,9.5113096,22.32
2,5.7456722,9.7928457,9.5277452,22.35
3,5.7445903,9.7965345,9.5408173,22.38
4,5.7426167,9.8032703,9.5069561,22.41
5,5.7459393,9.7919359,9.4769278,22.41
6,5.7461209,9.7913170,9.4735060,22.38
7,5.7423525,9.8041716,9.4575405,22.39
8,5.7429943,9.8019800,9.4356766,22.38
9,5.7463732,9.7904568,9.4581308,22.37
10,5.7439771,9.7986259,9.4635038,22.39
11,5.7430420,9.8018179,9.4186468,22.37
12,5.7471228,9.7879028,9.3981266,22.39
13,5.7451859,9.7945042,9.3969927,22.35
14,5.7419291,9.8056173,9.3789616,22.29
15,5.7435732,9.8000050,9.3652878,22.37
16,5.7459426,9.7919235,9.3890610,22.37
17,5.7435999,9.7999134,9.3835583,22.40
18,5.7435298,9.8001528,9.3373089,22.41
19,5.7472935,9.7873220,9.3286543,22.39
20,5.7449160,9.7954245,9.3240299,22.33
21,5.7422161,9.8046370,9.2981958,22.39
22,5.7449102,9.7954435,9.2892761,22.44
23,5.7451868,9.7945004,9.3181448,22.42
24,5.7432299,9.8011761,9.3041801,22.50
25,5.7438583,9.7990313,9.2528219,22.54
26,5.7471447,9.7878284,9.2491341,22.55
27,5.7445469,9.7966833,9.2350721,22.51
28,5.7415876,9.8067846,9.2144384,22.50
29,5.7454033,9.7937622,9.2118988,22.49
30,5.7453074,9.7940893,9.2408018,22.44
31,5.7430148,9.8019104,9.2211132,22.38
32,5.7454185,9.7937107,9.1829300,22.40
