Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7444787,9.7969151,9.5053720,29.56
2,5.7451739,9.7945442,9.5003042,29.55
3,5.7447186,9.7960968,9.4914732,29.57
4,5.7446613,9.7962923,9.4820862,29.57
5,5.7449851,9.7951889,9.4678888,29.56
6,5.7449560,9.7952871,9.4595041,29.60
7,5.7448473,9.7956581,9.4509888,29.58
8,5.7444248,9.7970991,9.4403210,29.54
9,5.7450857,9.7948446,9.4375563,29.54
10,5.7446957,9.7961750,9.4261274,29.53
11,5.7443380,9.7973948,9.4149256,29.55
12,5.7451487,9.7946310,9.4035378,29.55
13,5.7448502,9.7956486,9.3938065,29.53
14,5.7446194,9.7964354,9.3843317,29.49
15,5.7447586,9.7959604,9.3745995,29.49
16,5.7449627,9.7952642,9.3696585,29.47
17,5.7447557,9.7959709,9.3598442,29.39
18,5.7445612,9.7966337,9.3483257,29.38
19,5.7451892,9.7944927,9.3389521,29.30
20,5.7449498,9.7953081,9.3285675,29.33
21,5.7446270,9.7964096,9.3195820,29.36
22,5.7447572,9.7959652,9.3097420,29.35
23,5.7447128,9.7961168,9.3038416,29.35
24,5.7448397,9.7956839,9.2954416,29.37
25,5.7446976,9.7961693,9.2839127,29.40
26,5.7451925,9.7944813,9.2742558,29.40
27,5.7448764,9.7955589,9.2637520,29.38
28,5.7445087,9.7968130,9.2529354,29.33
29,5.7449760,9.7952194,9.2444954,29.27
30,5.7447419,9.7960176,9.2374611,29.26
31,5.7447953,9.7958355,9.2289619,29.27
32,5.7446680,9.7962694,9.2163477,29.27
