Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7434654,9.8003731,9.4858580,22.59
2,5.7441401,9.7980709,9.4765139,22.59
3,5.7443304,9.7974215,9.4695415,22.63
4,5.7444830,9.7969007,9.4530296,22.69
5,5.7448401,9.7956829,9.4408598,22.71
6,5.7448578,9.7956219,9.4298573,22.75
7,5.7443438,9.7973757,9.4181633,22.79
8,5.7437592,9.7993698,9.4048862,22.81
9,5.7441139,9.7981596,9.3932943,22.86
10,5.7435827,9.7999716,9.3832417,22.89
11,5.7445230,9.7967644,9.3640404,22.89
12,5.7452612,9.7942467,9.3520947,22.90
13,5.7450047,9.7951212,9.3407288,22.93
14,5.7438707,9.7989893,9.3299446,22.88
15,5.7442021,9.7978582,9.3198977,22.88
16,5.7443972,9.7971935,9.3099518,22.91
17,5.7447486,9.7959948,9.3030939,22.83
18,5.7444000,9.7971840,9.2906170,22.76
19,5.7453966,9.7937851,9.2798615,22.67
20,5.7445207,9.7967720,9.2696209,22.64
21,5.7437201,9.7995033,9.2591562,22.60
22,5.7440624,9.7983351,9.2505693,22.56
23,5.7440386,9.7984161,9.2393532,22.56
24,5.7441196,9.7981396,9.2299881,22.59
25,5.7447615,9.7959509,9.2195168,22.55
26,5.7451601,9.7945910,9.2099771,22.61
27,5.7443571,9.7973299,9.1967802,22.61
28,5.7435346,9.8001366,9.1849728,22.62
29,5.7440863,9.7982540,9.1770382,22.59
30,5.7443409,9.7973852,9.1687174,22.57
31,5.7443218,9.7974501,9.1558638,22.62
32,5.7447519,9.7959833,9.1454973,22.61
