Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7440267,9.7984571,9.5145302,26.98
2,5.7443638,9.7973070,9.5024881,26.94
3,5.7446990,9.7961636,9.4875822,26.90
4,5.7441392,9.7980738,9.4696827,26.95
5,5.7446895,9.7961969,9.4517717,26.97
6,5.7447557,9.7959709,9.4383488,27.02
7,5.7445693,9.7966061,9.4249516,26.99
8,5.7445612,9.7966337,9.4123411,27.02
9,5.7442470,9.7977057,9.3988018,26.93
10,5.7444706,9.7969427,9.3842402,26.93
11,5.7442398,9.7977304,9.3674126,26.93
12,5.7446108,9.7964649,9.3493786,26.99
13,5.7442884,9.7975645,9.3325682,27.01
14,5.7441435,9.7980585,9.3181763,27.07
15,5.7449784,9.7952108,9.3070126,27.06
16,5.7442236,9.7977858,9.2906570,27.00
17,5.7445078,9.7968159,9.2781315,26.97
18,5.7446718,9.7962570,9.2614508,27.06
19,5.7451978,9.7944632,9.2493830,26.96
20,5.7445450,9.7966890,9.2326899,26.94
21,5.7441101,9.7981730,9.2179661,26.90
22,5.7444625,9.7969713,9.2021713,26.83
23,5.7440348,9.7984295,9.1854944,26.80
24,5.7441311,9.7981014,9.1670227,26.76
25,5.7444310,9.7970781,9.1498852,26.75
26,5.7445240,9.7967615,9.1338120,26.79
27,5.7439871,9.7985926,9.1181412,26.84
28,5.7442346,9.7977486,9.1025801,26.86
29,5.7446585,9.7963018,9.0887547,26.91
30,5.7448797,9.7955475,9.0763693,26.86
31,5.7450094,9.7951050,9.0647717,26.83
32,5.7447443,9.7960091,9.0467157,26.79
