Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7433310,9.8008308,9.4853582,22.94
2,5.7442436,9.7977171,9.4767485,22.98
3,5.7444830,9.7969007,9.4732389,23.03
4,5.7439909,9.7985792,9.4559755,23.08
5,5.7448835,9.7955341,9.4413509,23.08
6,5.7447214,9.7960873,9.4301853,23.11
7,5.7442770,9.7976036,9.4141560,23.12
8,5.7434974,9.8002634,9.4004459,23.16
9,5.7443333,9.7974110,9.3903980,23.16
10,5.7443933,9.7972059,9.3865013,23.19
11,5.7442522,9.7976885,9.3689270,23.14
12,5.7447071,9.7961359,9.3591194,23.09
13,5.7447300,9.7960587,9.3472023,23.09
14,5.7442021,9.7978582,9.3351402,23.08
15,5.7437029,9.7995625,9.3231087,22.99
16,5.7442722,9.7976198,9.3131437,23.03
17,5.7444229,9.7971058,9.3115883,22.97
18,5.7445679,9.7966108,9.2936840,22.91
19,5.7449017,9.7954731,9.2861567,22.92
20,5.7442942,9.7975445,9.2733278,22.95
21,5.7436886,9.7996101,9.2634563,22.98
22,5.7437534,9.7993898,9.2500677,22.98
23,5.7443533,9.7973433,9.2363710,22.95
24,5.7441502,9.7980366,9.2319918,22.89
25,5.7444811,9.7969074,9.2169018,22.82
26,5.7451859,9.7945042,9.2070532,22.81
27,5.7442484,9.7977009,9.1930313,22.88
28,5.7435575,9.8000584,9.1833506,22.90
29,5.7440186,9.7984848,9.1742182,22.92
30,5.7443237,9.7974443,9.1661587,22.90
31,5.7438450,9.7990770,9.1567764,22.99
32,5.7447381,9.7960310,9.1415081,22.97
