Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7440343,9.7984314,9.5094919,25.14
2,5.7444682,9.7969513,9.5017853,25.24
3,5.7444506,9.7970114,9.4963369,25.28
4,5.7443638,9.7973070,9.4739914,25.28
5,5.7453461,9.7939577,9.4615202,25.23
6,5.7446332,9.7963886,9.4492979,25.21
7,5.7438240,9.7991495,9.4377298,25.20
8,5.7439032,9.7988787,9.4302282,25.20
9,5.7448778,9.7955542,9.4247923,25.25
10,5.7438574,9.7990351,9.4169579,25.30
11,5.7444773,9.7969208,9.3967876,25.31
12,5.7453203,9.7940454,9.3848906,25.25
13,5.7443018,9.7975187,9.3705320,25.23
14,5.7437010,9.7995691,9.3611708,25.24
15,5.7444830,9.7969007,9.3512449,25.22
16,5.7452374,9.7943287,9.3461761,25.25
17,5.7441192,9.7981415,9.3326015,25.19
18,5.7448378,9.7956905,9.3161392,25.16
19,5.7451634,9.7945805,9.3059845,25.05
20,5.7443619,9.7973137,9.2916946,25.05
21,5.7434025,9.8005867,9.2818031,25.06
22,5.7440367,9.7984228,9.2724209,25.09
23,5.7447309,9.7960548,9.2695475,25.13
24,5.7441292,9.7981081,9.2511559,25.19
25,5.7452297,9.7943535,9.2348442,25.22
26,5.7454414,9.7936325,9.2230034,25.23
27,5.7445135,9.7967968,9.2106781,25.30
28,5.7438045,9.7992153,9.1990490,25.25
29,5.7446203,9.7964325,9.1919680,25.24
30,5.7445984,9.7965078,9.1919422,25.20
31,5.7441940,9.7978859,9.1720781,25.19
32,5.7444286,9.7970867,9.1601162,25.24
