Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7435179,9.8001938,9.4879627,23.20
2,5.7441797,9.7979355,9.4769087,23.23
3,5.7444735,9.7969332,9.4738865,23.22
4,5.7445936,9.7965231,9.4517937,23.23
5,5.7452869,9.7941589,9.4417305,23.26
6,5.7444124,9.7971411,9.4287262,23.22
7,5.7442780,9.7976007,9.4172897,23.21
8,5.7438936,9.7989111,9.4054976,23.18
9,5.7438803,9.7989569,9.3949480,23.19
10,5.7444410,9.7970438,9.3937845,23.21
11,5.7444954,9.7968588,9.3735886,23.26
12,5.7452521,9.7942781,9.3635960,23.26
13,5.7445025,9.7968340,9.3491459,23.20
14,5.7438531,9.7990494,9.3383045,23.11
15,5.7435060,9.8002348,9.3263826,23.07
16,5.7444105,9.7971478,9.3154049,23.06
17,5.7437944,9.7992496,9.3098059,23.04
18,5.7444148,9.7971334,9.2933550,23.09
19,5.7452507,9.7942829,9.2819576,23.09
20,5.7443342,9.7974081,9.2686253,23.07
21,5.7434959,9.8002682,9.2587519,23.08
22,5.7438526,9.7990513,9.2480450,23.04
23,5.7447453,9.7960062,9.2389936,23.10
24,5.7439904,9.7985811,9.2299767,23.12
25,5.7447844,9.7958727,9.2166224,23.12
26,5.7451248,9.7947121,9.2085323,23.11
27,5.7442060,9.7978458,9.1940746,23.13
28,5.7434168,9.8005390,9.1829958,23.15
29,5.7441211,9.7981348,9.1734667,23.18
30,5.7446966,9.7961721,9.1678133,23.08
31,5.7440596,9.7983446,9.1555119,23.06
32,5.7444096,9.7971516,9.1412840,23.06
