Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7442827,9.7975836,9.5103350,26.95
2,5.7446289,9.7964029,9.5033283,26.95
3,5.7446604,9.7962952,9.4963579,26.94
4,5.7445230,9.7967644,9.4821472,26.91
5,5.7450123,9.7950954,9.4705791,26.88
6,5.7448707,9.7955780,9.4593010,26.87
7,5.7444448,9.7970304,9.4490099,26.84
8,5.7444334,9.7970695,9.4404297,26.83
9,5.7445536,9.7966604,9.4319668,26.86
10,5.7445173,9.7967834,9.4253006,26.94
11,5.7445450,9.7966890,9.4134922,26.88
12,5.7451897,9.7944908,9.4024553,26.85
13,5.7447786,9.7958927,9.3911591,26.86
14,5.7442575,9.7976704,9.3810501,26.88
15,5.7447009,9.7961569,9.3727160,26.91
16,5.7445331,9.7967300,9.3641930,26.89
17,5.7445035,9.7968302,9.3558064,26.90
18,5.7446909,9.7961912,9.3445196,26.90
19,5.7450571,9.7949429,9.3343782,26.90
20,5.7446985,9.7961655,9.3215876,26.89
21,5.7441349,9.7980881,9.3121901,26.87
22,5.7446756,9.7962437,9.3064947,26.91
23,5.7446289,9.7964029,9.2966156,26.90
24,5.7446957,9.7961750,9.2878036,26.90
25,5.7446966,9.7961721,9.2769146,26.90
26,5.7449570,9.7952843,9.2658854,26.93
27,5.7445960,9.7965155,9.2536736,26.95
28,5.7440767,9.7982864,9.2437172,26.97
29,5.7447243,9.7960777,9.2393913,27.05
30,5.7448425,9.7956743,9.2314348,26.95
31,5.7447023,9.7961531,9.2199669,26.89
32,5.7447300,9.7960587,9.2083426,26.94
