Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7443633,9.7973089,9.5114985,27.64
2,5.7447300,9.7960587,9.5051422,27.61
3,5.7446299,9.7964001,9.5013313,27.63
4,5.7445450,9.7966890,9.4849529,27.61
5,5.7450886,9.7948351,9.4736013,27.60
6,5.7449579,9.7952805,9.4613152,27.62
7,5.7444592,9.7969818,9.4510794,27.60
8,5.7444930,9.7968664,9.4421883,27.61
9,5.7446971,9.7961702,9.4350443,27.59
10,5.7446184,9.7964382,9.4305859,27.59
11,5.7445621,9.7966309,9.4156752,27.60
12,5.7452068,9.7944317,9.4046831,27.55
13,5.7448912,9.7955084,9.3918200,27.53
14,5.7444105,9.7971478,9.3830795,27.51
15,5.7445908,9.7965326,9.3748646,27.50
16,5.7447324,9.7960501,9.3679552,27.49
17,5.7446351,9.7963820,9.3622408,27.45
18,5.7446365,9.7963772,9.3476381,27.43
19,5.7451901,9.7944889,9.3365250,27.43
20,5.7448025,9.7958117,9.3241205,27.37
21,5.7441378,9.7980785,9.3153791,27.42
22,5.7446442,9.7963505,9.3089561,27.42
23,5.7447572,9.7959652,9.3017159,27.39
24,5.7447081,9.7961330,9.2915707,27.34
25,5.7447386,9.7960291,9.2776060,27.35
26,5.7451487,9.7946310,9.2668447,27.35
27,5.7446723,9.7962551,9.2534075,27.34
28,5.7441158,9.7981529,9.2450151,27.36
29,5.7448096,9.7957869,9.2396069,27.34
30,5.7447119,9.7961197,9.2337751,27.34
31,5.7447290,9.7960615,9.2211151,27.34
32,5.7448292,9.7957201,9.2072392,27.32
