Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7457485,9.7925854,9.5191889,22.99
2,5.7467651,9.7891207,9.5146255,23.05
3,5.7425680,9.8034363,9.4992313,23.05
4,5.7423697,9.8041124,9.4782000,23.05
5,5.7462616,9.7908373,9.4991312,23.03
6,5.7442169,9.7978077,9.5093193,22.87
7,5.7427602,9.8027802,9.4706898,22.81
8,5.7466478,9.7895203,9.4419537,22.83
9,5.7454863,9.7934799,9.4404860,22.84
10,5.7417221,9.8063250,9.4220171,22.92
11,5.7432232,9.8011990,9.4022255,22.96
12,5.7468815,9.7887249,9.4254599,22.97
13,5.7437954,9.7992468,9.4271221,22.95
14,5.7423954,9.8040247,9.3783417,22.91
15,5.7479763,9.7849960,9.3606005,22.96
16,5.7449732,9.7952290,9.3588343,22.92
17,5.7418222,9.8059826,9.3362799,22.89
18,5.7444410,9.7970438,9.3243446,22.85
19,5.7455101,9.7933989,9.3551798,22.86
20,5.7434721,9.8003502,9.3485460,22.88
21,5.7438126,9.7991877,9.2971401,22.92
22,5.7468915,9.7886906,9.2941189,22.93
23,5.7440128,9.7985048,9.2846642,22.96
24,5.7414317,9.8073158,9.2601795,23.00
25,5.7447648,9.7959394,9.2525940,23.03
26,5.7452507,9.7942829,9.2850361,23.05
27,5.7430458,9.8018045,9.2670727,23.08
28,5.7442012,9.7978621,9.2192526,23.09
29,5.7470231,9.7882423,9.2198801,23.11
30,5.7438478,9.7990675,9.2045450,23.10
31,5.7413387,9.8076344,9.1833916,23.09
32,5.7458086,9.7923803,9.1876965,23.04
