Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7435670,9.8000259,9.5242062,23.59
2,5.7455282,9.7933369,9.5282164,23.58
3,5.7441759,9.7979488,9.5323849,23.60
4,5.7436676,9.7996826,9.4976721,23.61
5,5.7453194,9.7940483,9.4878426,23.61
6,5.7450666,9.7949104,9.4779806,23.57
7,5.7438283,9.7991343,9.4636297,23.53
8,5.7436085,9.7998838,9.4569244,23.52
9,5.7455640,9.7932148,9.4657345,23.56
10,5.7437325,9.7994614,9.4615507,23.55
11,5.7440133,9.7985029,9.4270182,23.54
12,5.7455487,9.7932663,9.4180670,23.55
13,5.7447138,9.7961130,9.4106026,23.54
14,5.7435465,9.8000956,9.3959179,23.53
15,5.7440619,9.7983370,9.3892078,23.50
16,5.7454944,9.7934523,9.3997049,23.46
17,5.7434969,9.8002653,9.3883848,23.47
18,5.7446666,9.7962742,9.3578129,23.45
19,5.7453117,9.7940750,9.3451738,23.45
20,5.7442718,9.7976208,9.3378239,23.49
21,5.7435317,9.8001461,9.3239098,23.53
22,5.7445135,9.7967968,9.3148794,23.50
23,5.7452774,9.7941914,9.3306293,23.51
24,5.7432060,9.8012581,9.3124304,23.57
25,5.7452598,9.7942514,9.2872028,23.54
26,5.7450380,9.7950077,9.2736702,23.56
27,5.7441349,9.7980881,9.2646627,23.55
28,5.7432890,9.8009748,9.2503462,23.57
29,5.7449832,9.7951946,9.2442245,23.60
30,5.7448001,9.7958193,9.2585268,23.61
31,5.7434750,9.8003397,9.2322168,23.62
32,5.7455254,9.7933464,9.2137194,23.59
