Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7444763,9.7969236,9.5133324,29.52
2,5.7452474,9.7942944,9.5085402,29.47
3,5.7449732,9.7952290,9.5017405,29.42
4,5.7447996,9.7958212,9.4912481,29.46
5,5.7452235,9.7943754,9.4787064,29.42
6,5.7452555,9.7942657,9.4686298,29.38
7,5.7448802,9.7955465,9.4604445,29.40
8,5.7447472,9.7959995,9.4502001,29.39
9,5.7447424,9.7960157,9.4460659,29.35
10,5.7446260,9.7964134,9.4403133,29.33
11,5.7445860,9.7965488,9.4273586,29.31
12,5.7451506,9.7946243,9.4164391,29.30
13,5.7449474,9.7953167,9.4034719,29.32
14,5.7447391,9.7960272,9.3942099,29.37
15,5.7447109,9.7961235,9.3873854,29.46
16,5.7448511,9.7956457,9.3818693,29.54
17,5.7451258,9.7947083,9.3765717,29.51
18,5.7447052,9.7961426,9.3630781,29.51
19,5.7450480,9.7949734,9.3524570,29.52
20,5.7448597,9.7956161,9.3404951,29.47
21,5.7447538,9.7959766,9.3330460,29.50
22,5.7450705,9.7948971,9.3275862,29.47
23,5.7449389,9.7953463,9.3225031,29.45
24,5.7448149,9.7957687,9.3128300,29.44
25,5.7447891,9.7958565,9.2980108,29.45
26,5.7452202,9.7943869,9.2883024,29.48
27,5.7448077,9.7957935,9.2767019,29.37
28,5.7443557,9.7973347,9.2673407,29.33
29,5.7448792,9.7955494,9.2606430,29.24
30,5.7446899,9.7961941,9.2538939,29.24
31,5.7447162,9.7961054,9.2432957,29.26
32,5.7448153,9.7957668,9.2285166,29.27
