Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7447357,9.7960386,9.5152941,28.15
2,5.7450237,9.7950563,9.5132799,28.11
3,5.7445593,9.7966404,9.5142117,28.14
4,5.7444639,9.7969656,9.4929399,28.17
5,5.7453537,9.7939310,9.4806862,28.16
6,5.7452745,9.7942009,9.4711456,28.10
7,5.7445202,9.7967739,9.4602184,28.11
8,5.7447338,9.7960453,9.4537287,28.07
9,5.7449703,9.7952394,9.4544220,28.13
10,5.7446165,9.7964449,9.4490099,28.06
11,5.7446938,9.7961817,9.4294329,28.07
12,5.7453861,9.7938213,9.4193926,28.02
13,5.7450566,9.7949448,9.4096699,28.05
14,5.7442708,9.7976246,9.3994274,28.09
15,5.7447200,9.7960920,9.3950624,28.11
16,5.7449269,9.7953863,9.3941069,28.10
17,5.7445126,9.7967997,9.3850527,28.13
18,5.7447796,9.7958889,9.3673697,28.15
19,5.7454348,9.7936554,9.3575926,28.11
20,5.7445812,9.7965660,9.3479891,28.10
21,5.7440715,9.7983046,9.3390388,28.16
22,5.7447577,9.7959642,9.3333817,28.18
23,5.7450371,9.7950106,9.3337784,28.21
24,5.7446518,9.7963247,9.3215199,28.22
25,5.7449198,9.7954111,9.3033333,28.17
26,5.7452707,9.7942142,9.2939720,28.22
27,5.7443662,9.7972994,9.2827263,28.25
28,5.7442260,9.7977772,9.2741261,28.28
29,5.7451587,9.7945967,9.2691517,28.28
30,5.7450361,9.7950144,9.2719498,28.22
31,5.7446890,9.7961979,9.2549009,28.18
32,5.7450047,9.7951212,9.2399321,28.17
