Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7439904,9.7985811,9.5159473,23.62
2,5.7443008,9.7975225,9.5062027,23.55
3,5.7441692,9.7979708,9.5013638,23.51
4,5.7444944,9.7968616,9.4854536,23.49
5,5.7453041,9.7940998,9.4749308,23.50
6,5.7443399,9.7973881,9.4611626,23.47
7,5.7438116,9.7991905,9.4526834,23.48
8,5.7440619,9.7983370,9.4426203,23.47
9,5.7445517,9.7966671,9.4340992,23.51
10,5.7441187,9.7981434,9.4269638,23.43
11,5.7446423,9.7963572,9.4130554,23.42
12,5.7450557,9.7949476,9.4028778,23.41
13,5.7441511,9.7980328,9.3887987,23.39
14,5.7435436,9.8001060,9.3788376,23.40
15,5.7438784,9.7989635,9.3716774,23.40
16,5.7444611,9.7969751,9.3635941,23.40
17,5.7437181,9.7995100,9.3510790,23.40
18,5.7444191,9.7971182,9.3388662,23.44
19,5.7454410,9.7936335,9.3294077,23.46
20,5.7442427,9.7977200,9.3148470,23.47
21,5.7433577,9.8007402,9.3028145,23.37
22,5.7440972,9.7982168,9.2924604,23.31
23,5.7445598,9.7966394,9.2867231,23.25
24,5.7443457,9.7973690,9.2705822,23.18
25,5.7449484,9.7953138,9.2596979,23.15
26,5.7448816,9.7955408,9.2502079,23.17
27,5.7441335,9.7980928,9.2380514,23.16
28,5.7434797,9.8003235,9.2272129,23.15
29,5.7439585,9.7986898,9.2170324,23.17
30,5.7442904,9.7975578,9.2141314,23.24
31,5.7445669,9.7966137,9.1960211,23.25
32,5.7448292,9.7957201,9.1858473,23.28
