Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7438354,9.7991095,9.5216331,22.91
2,5.7445745,9.7965889,9.5163670,22.94
3,5.7442131,9.7978210,9.5153656,22.99
4,5.7444782,9.7969170,9.4906063,22.94
5,5.7452164,9.7944002,9.4805965,22.86
6,5.7445641,9.7966242,9.4663982,22.83
7,5.7439756,9.7986317,9.4559517,22.80
8,5.7439613,9.7986803,9.4470291,22.84
9,5.7449965,9.7951488,9.4424534,22.85
10,5.7439718,9.7986450,9.4364033,22.86
11,5.7446060,9.7964811,9.4172802,22.86
12,5.7452865,9.7941608,9.4075785,22.82
13,5.7445412,9.7967024,9.3932600,22.85
14,5.7437096,9.7995396,9.3858414,22.88
15,5.7438278,9.7991362,9.3765602,22.92
16,5.7450104,9.7951021,9.3735886,22.96
17,5.7437959,9.7992449,9.3616104,22.93
18,5.7449150,9.7954273,9.3438158,22.95
19,5.7451363,9.7946730,9.3332043,22.93
20,5.7442579,9.7976685,9.3201599,22.84
21,5.7433243,9.8008537,9.3082094,22.91
22,5.7440934,9.7982302,9.2985096,22.94
23,5.7447982,9.7958260,9.2997627,23.01
24,5.7438221,9.7991552,9.2822704,23.00
25,5.7446551,9.7963133,9.2669058,23.03
26,5.7446961,9.7961740,9.2540178,23.09
27,5.7442498,9.7976961,9.2386465,23.11
28,5.7431498,9.8014498,9.2269011,23.12
29,5.7442269,9.7977743,9.2168550,23.16
30,5.7444010,9.7971811,9.2186480,23.20
31,5.7443690,9.7972898,9.1955681,23.22
32,5.7451186,9.7947330,9.1841631,23.23
