Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7445517,9.7966671,9.5201645,24.93
2,5.7444582,9.7969856,9.5108709,24.90
3,5.7446394,9.7963667,9.5010147,24.86
4,5.7445893,9.7965384,9.4947338,24.86
5,5.7445278,9.7967482,9.4846754,24.84
6,5.7445226,9.7967653,9.4733438,24.84
7,5.7446642,9.7962828,9.4632225,24.87
8,5.7444949,9.7968597,9.4529963,24.86
9,5.7444549,9.7969961,9.4441853,24.85
10,5.7447319,9.7960520,9.4363031,24.89
11,5.7446265,9.7964106,9.4287596,24.88
12,5.7444897,9.7968779,9.4193716,24.90
13,5.7446003,9.7965012,9.4070215,24.89
14,5.7446146,9.7964516,9.3975725,24.90
15,5.7445316,9.7967348,9.3879185,24.89
16,5.7444868,9.7968874,9.3795938,24.90
17,5.7445683,9.7966099,9.3722019,24.92
18,5.7445374,9.7967148,9.3639507,24.91
19,5.7443447,9.7973719,9.3535080,24.93
20,5.7445526,9.7966633,9.3418798,24.91
21,5.7445025,9.7968340,9.3324165,24.90
22,5.7443600,9.7973204,9.3234863,24.92
23,5.7443929,9.7972078,9.3140898,24.95
24,5.7445641,9.7966242,9.3063898,24.96
25,5.7445116,9.7968025,9.2965555,24.94
26,5.7443371,9.7973986,9.2852983,24.99
27,5.7445874,9.7965450,9.2754955,25.01
28,5.7446260,9.7964134,9.2656479,25.00
29,5.7444758,9.7969246,9.2562494,25.01
30,5.7444820,9.7969036,9.2470770,25.03
31,5.7445555,9.7966537,9.2409601,25.09
32,5.7443810,9.7972488,9.2307997,25.04
