Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7443581,9.7973270,9.5112600,29.99
2,5.7446737,9.7962503,9.5035000,29.98
3,5.7446194,9.7964354,9.4938192,29.98
4,5.7446213,9.7964287,9.4820671,29.94
5,5.7447543,9.7959747,9.4687757,29.91
6,5.7446260,9.7964134,9.4600086,29.90
7,5.7443891,9.7972212,9.4471111,29.87
8,5.7444010,9.7971811,9.4353580,29.86
9,5.7447252,9.7960749,9.4292259,29.86
10,5.7447424,9.7960157,9.4195518,29.87
11,5.7445650,9.7966204,9.4076090,29.87
12,5.7449732,9.7952290,9.3951578,29.88
13,5.7446890,9.7961979,9.3866615,29.91
14,5.7442570,9.7976713,9.3754463,29.91
15,5.7444677,9.7969522,9.3637476,29.90
16,5.7447414,9.7960186,9.3590097,29.90
17,5.7445221,9.7967672,9.3484821,29.90
18,5.7443171,9.7974663,9.3351898,29.90
19,5.7449598,9.7952738,9.3224249,29.94
20,5.7445202,9.7967739,9.3121996,29.97
21,5.7443714,9.7972813,9.3006306,29.94
22,5.7444906,9.7968740,9.2902498,29.91
23,5.7448025,9.7958117,9.2830114,29.87
24,5.7444563,9.7969923,9.2734327,29.92
25,5.7444544,9.7969980,9.2588577,29.90
26,5.7448349,9.7957001,9.2469282,29.86
27,5.7444911,9.7968731,9.2365656,29.86
28,5.7444468,9.7970247,9.2266083,29.78
29,5.7449064,9.7954569,9.2179079,29.76
30,5.7448411,9.7956791,9.2103214,29.69
31,5.7445650,9.7966204,9.1997528,29.61
32,5.7445354,9.7967215,9.1855068,29.63
