Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7441540,9.7980232,9.4800158,27.31
2,5.7448177,9.7957592,9.4711742,27.27
3,5.7450657,9.7949133,9.4717884,27.28
4,5.7450404,9.7950001,9.4546928,27.24
5,5.7452822,9.7941751,9.4431934,27.21
6,5.7451591,9.7945948,9.4317923,27.22
7,5.7446222,9.7964258,9.4205894,27.26
8,5.7446065,9.7964792,9.4140387,27.28
9,5.7450213,9.7950640,9.4092731,27.33
10,5.7447281,9.7960653,9.4064951,27.30
11,5.7447000,9.7961607,9.3888197,27.32
12,5.7454634,9.7935581,9.3748608,27.25
13,5.7448874,9.7955217,9.3599825,27.16
14,5.7441063,9.7981853,9.3453350,27.15
15,5.7444448,9.7970304,9.3342857,27.10
16,5.7447701,9.7959213,9.3275385,27.11
17,5.7446618,9.7962914,9.3232622,27.12
18,5.7446818,9.7962227,9.3067808,27.16
19,5.7451348,9.7946777,9.2966785,27.22
20,5.7449636,9.7952614,9.2857475,27.25
21,5.7440510,9.7983751,9.2750549,27.28
22,5.7441363,9.7980833,9.2673044,27.34
23,5.7448397,9.7956839,9.2627192,27.36
24,5.7443771,9.7972622,9.2548046,27.35
25,5.7446508,9.7963285,9.2402735,27.33
26,5.7450571,9.7949429,9.2294226,27.33
27,5.7445393,9.7967081,9.2158527,27.38
28,5.7441659,9.7979822,9.2090082,27.36
29,5.7445107,9.7968063,9.2038078,27.39
30,5.7450953,9.7948132,9.1993008,27.39
31,5.7446895,9.7961969,9.1871958,27.42
32,5.7451277,9.7947016,9.1737547,27.44
