Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7444868,9.7968874,9.5092707,27.03
2,5.7447619,9.7959499,9.5023832,27.04
3,5.7445650,9.7966204,9.4908133,27.07
4,5.7445517,9.7966671,9.4791307,27.09
5,5.7445726,9.7965956,9.4660969,27.07
6,5.7448368,9.7956934,9.4566336,27.04
7,5.7443800,9.7972517,9.4453716,27.00
8,5.7443810,9.7972488,9.4345293,26.98
9,5.7446880,9.7962008,9.4275742,26.93
10,5.7442970,9.7975349,9.4166355,26.91
11,5.7442832,9.7975817,9.4062796,26.90
12,5.7446375,9.7963734,9.3924656,26.89
13,5.7446823,9.7962208,9.3829384,26.91
14,5.7444177,9.7971239,9.3715916,26.91
15,5.7443752,9.7972689,9.3605051,26.93
16,5.7447319,9.7960520,9.3529749,26.93
17,5.7445307,9.7967377,9.3430328,26.91
18,5.7443638,9.7973070,9.3329792,26.88
19,5.7447729,9.7959118,9.3208809,26.91
20,5.7445669,9.7966137,9.3106518,26.88
21,5.7443409,9.7973852,9.2993355,26.91
22,5.7445621,9.7966309,9.2891970,26.92
23,5.7447090,9.7961302,9.2823524,26.96
24,5.7445211,9.7967710,9.2721758,26.95
25,5.7444239,9.7971029,9.2607832,26.97
26,5.7447510,9.7959871,9.2488098,26.97
27,5.7445984,9.7965078,9.2371254,26.98
28,5.7442303,9.7977629,9.2257261,26.96
29,5.7447138,9.7961130,9.2173157,26.94
30,5.7445431,9.7966957,9.2094193,26.93
31,5.7444520,9.7970066,9.1984997,26.91
32,5.7444105,9.7971478,9.1861839,26.89
