Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7445168,9.7967854,9.4849720,25.29
2,5.7438002,9.7992306,9.4731388,25.29
3,5.7440310,9.7984428,9.4595089,25.33
4,5.7446823,9.7962208,9.4502268,25.35
5,5.7447653,9.7959375,9.4407587,25.33
6,5.7446117,9.7964611,9.4298525,25.35
7,5.7444191,9.7971182,9.4159431,25.36
8,5.7442245,9.7977829,9.4039116,25.30
9,5.7441158,9.7981529,9.3903322,25.30
10,5.7440376,9.7984200,9.3809185,25.34
11,5.7446284,9.7964039,9.3725719,25.34
12,5.7446566,9.7963085,9.3642244,25.33
13,5.7442894,9.7975607,9.3536367,25.31
14,5.7445974,9.7965107,9.3414173,25.39
15,5.7445278,9.7967482,9.3289499,25.39
16,5.7445226,9.7967653,9.3177052,25.42
17,5.7443714,9.7972813,9.3064070,25.41
18,5.7446880,9.7962008,9.2982683,25.41
19,5.7441978,9.7978735,9.2873926,25.39
20,5.7444859,9.7968912,9.2757778,25.37
21,5.7443895,9.7972193,9.2640896,25.37
22,5.7443848,9.7972355,9.2536116,25.46
23,5.7443070,9.7975006,9.2419262,25.45
24,5.7443924,9.7972097,9.2302818,25.43
25,5.7445679,9.7966108,9.2220984,25.43
26,5.7445154,9.7967901,9.2109499,25.37
27,5.7445631,9.7966270,9.2003183,25.31
28,5.7441068,9.7981844,9.1851931,25.26
29,5.7446270,9.7964096,9.1752024,25.23
30,5.7443638,9.7973070,9.1643820,25.18
31,5.7441444,9.7980556,9.1531334,25.20
32,5.7441463,9.7980490,9.1456861,25.26
